State,StatePop,Abbrev.,Capital,CapitalPop
Alabama,4921532,AL,Montgomery,198525
Alaska,731158,AK,Juneau,32113
Arizona,7421401,AZ,Phoenix,1680992
Arkansas,3030522,AR,Little Rock,197312
California,39368078,CA,Sacramento,513624
Colorado,5807719,CO,Denver,727211
Connecticut,3557006,CT,Hartford,122105
Delaware,986809,DE,Dover,38079
Florida,21733312,FL,Tallahassee,194500
Georgia,10710017,GA,Atlanta,506811
Hawaii,1407006,HI,Honolulu,345064
Idaho,1826913,ID,Boise,228959
Illinois,12587530,IL,Springfield,114230
Indiana,6754953,IN,Indianapolis,876384
Iowa,3163561,IA,Des Moines,214237
Kansas,2913805,KS,Topeka,125310
Kentucky,4477251,KY,Frankfort,27679
Louisiana,4645318,LA,Baton Rouge,220236
Maine,1350141,ME,Augusta,18681
Maryland,6055802,MD,Annapolis,39174
Massachusetts,6893574,MA,Boston,692600
Michigan,9966555,MI,Lansing,118210
Minnesota,5657342,MN,St. Paul,308096
Mississippi,2966786,MS,Jackson,160628
Missouri,6151548,MO,Jefferson City,42838
Montana,1080577,MT,Helena,32315
Nebraska,1937552,NE,Lincoln,289102
Nevada,3138259,NV,Carson City,55916
New Hampshire,1366275,NH,Concord,43627
New Jersey,8882371,NJ,Trenton,83203
New Mexico,2106319,NM,Santa Fe,84683
New York,19336776,NY,Albany,96460
North Carolina,10600823,NC,Raleigh,474069
North Dakota,765309,ND,Bismarck,73529
Ohio,11693217,OH,Columbus,898553
Oklahoma,3980783,OK,Oklahoma City,655057
Oregon,4241507,OR,Salem,174365
Pennsylvania,12783254,PA,Harrisburg,49528
Rhode Island,1057125,RI,Providence,179883
South Carolina,5218040,SC,Columbia,131674
South Dakota,892717,SD,Pierre,13646
Tennessee,6886834,TN,Nashville,670820
Texas,29360759,TX,Austin,978908
Utah,3249879,UT,Salt Lake City,200567
Vermont,623347,VT,Montpelier,7855
Virginia,8590563,VA,Richmond,230436
Washington,7693612,WA,Olympia,46478
West Virginia,1784787,WV,Charleston,46536
Wisconsin,5832655,WI,Madison,259680
Wyoming,582328,WY,Cheyenne,64235
